prop_id,situs_num,situs_street,title_owner_name,property_use_cd,property_use_description,zoning,zoning_description,market_land_val,market_improvement_val,market,appraised_val_total,taxable_val_total,yr_blt,sqft_la,imprv_type,legal_description,tax_payer_name,tax_payer_city,tax_payer_state
155449,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 45-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155450,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1920,8563,10483,10483,10483,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 46-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155451,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1920,8563,10483,10483,10483,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 47-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155453,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,7277,9007,9007,9007,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 2-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155454,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 3-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155455,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 4-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155456,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 5-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155457,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 6-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155458,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 7-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155459,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,6458,8188,8188,8188,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 8-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
